Ticket_ID,Date_Created,Truck_ID,Component,Status,Lab_Notes,Mechanic_Action,Last_Updated,Required_Intervention,Sample_Mileage
TKT-20260416142432-MTL03-ENG,2026-04-16 14:24,MTL03,Engine,2. Pending Lab Dispatch,,,2026-04-16 15:48,,993768
TKT-20260416142432-MTL03-GEA,2026-04-16 14:24,MTL03,Gearbox,2. Pending Lab Dispatch,,,2026-04-16 15:48,,993768
TKT-20260416142432-MTL03-DIF,2026-04-16 14:24,MTL03,Differential,2. Pending Lab Dispatch,,,2026-04-16 15:48,,993768
TKT-20260416142432-MTL05-ENG,2026-04-16 14:24,MTL05,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL05-GEA,2026-04-16 14:24,MTL05,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL05-DIF,2026-04-16 14:24,MTL05,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL06-ENG,2026-04-16 14:24,MTL06,Engine,2. Pending Lab Dispatch,,,2026-04-16 15:48,,37500
TKT-20260416142432-MTL06-GEA,2026-04-16 14:24,MTL06,Gearbox,2. Pending Lab Dispatch,,,2026-04-16 15:48,,37500
TKT-20260416142432-MTL06-DIF,2026-04-16 14:24,MTL06,Differential,2. Pending Lab Dispatch,,,2026-04-16 15:48,,37500
TKT-20260416142432-MTL10-ENG,2026-04-16 14:24,MTL10,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL10-GEA,2026-04-16 14:24,MTL10,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL10-DIF,2026-04-16 14:24,MTL10,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL12-ENG,2026-04-16 14:24,MTL12,Engine,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL12-GEA,2026-04-16 14:24,MTL12,Gearbox,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL12-DIF,2026-04-16 14:24,MTL12,Differential,1. Pending Collection,,,2026-04-16 14:24,,Unknown
TKT-20260416142432-MTL18-ENG,2026-04-16 14:24,MTL18,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,326725
TKT-20260416142432-MTL18-GEA,2026-04-16 14:24,MTL18,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,326725
TKT-20260416142432-MTL18-DIF,2026-04-16 14:24,MTL18,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,326725
